Year,Actor,Role(s),Film,Ref.
2000,Tom Hanks,Chuck Noland,Cast Away,
2000,Javier Bardem,Reinaldo Arenas,Before Night Falls,
2000,Russell Crowe,Maximus Decimus Meridius,Gladiator,
2000,Michael Douglas,Grady Tripp,Wonder Boys,
2000,Geoffrey Rush,Marquis de Sade,Quills,
2001,Russell Crowe,John Nash,A Beautiful Mind,
2001,Will Smith,Muhammad Ali,Ali,
2001,Kevin Spacey,Quoyle,The Shipping News,
2001,Billy Bob Thornton,Ed Crane,The Man Who Wasn't There,
2001,Denzel Washington,Detective Alonzo Harris,Training Day,
2002,Jack Nicholson,Warren R. Schmidt,About Schmidt,
2002,Adrien Brody,Władysław Szpilman,The Pianist,
2002,Michael Caine,Thomas Fowler,The Quiet American,
2002,Daniel Day-Lewis,"William ""Bill the Butcher"" Cutting",Gangs of New York,
2002,Leonardo DiCaprio,"Frank Abagnale, Jr.",Catch Me If You Can,
2003,Sean Penn,Jimmy Markum,Mystic River,
2003,Russell Crowe,Captain Jack Aubrey,Master and Commander: The Far Side of the World,
2003,Tom Cruise,Captain Nathan Algren,The Last Samurai,
2003,Ben Kingsley,Massoud Behrani,House of Sand and Fog,
2003,Jude Law,W. P. Inman,Cold Mountain,
2004,Leonardo DiCaprio,Howard Hughes,The Aviator,
2004,Javier Bardem,Ramón Sampedro,The Sea Inside,
2004,Don Cheadle,Paul Rusesabagina,Hotel Rwanda,
2004,Johnny Depp,J. M. Barrie,Finding Neverland,
2004,Liam Neeson,Alfred Kinsey,Kinsey,
2005,Philip Seymour Hoffman,Truman Capote,Capote,
2005,Russell Crowe,James J. Braddock,Cinderella Man,
2005,Terrence Howard,DJay,Hustle & Flow,
2005,Heath Ledger,Ennis Del Mar,Brokeback Mountain,
2005,David Strathairn,Edward R. Murrow,"Good Night, and Good Luck",
2006,Forest Whitaker,Idi Amin,The Last King of Scotland,
2006,Leonardo DiCaprio,Danny Archer,Blood Diamond,
2006,Leonardo DiCaprio,"William ""Billy"" Costigan, Jr.",The Departed,
2006,Peter O'Toole,Maurice Russell,Venus,
2006,Will Smith,Chris Gardner,The Pursuit of Happyness,
2007,Daniel Day-Lewis,Daniel Plainview,There Will Be Blood,
2007,George Clooney,Michael Clayton,Michael Clayton,
2007,James McAvoy,Robbie Turner,Atonement,
2007,Viggo Mortensen,Nikolai Luzhin,Eastern Promises,
2007,Denzel Washington,Frank Lucas,American Gangster,
2008,Mickey Rourke,"Randy ""The Ram"" Robinson",The Wrestler,
2008,Leonardo DiCaprio,Frank Wheeler,Revolutionary Road,
2008,Frank Langella,Richard Nixon,Frost/Nixon,
2008,Sean Penn,Harvey Milk,Milk,
2008,Brad Pitt,Benjamin Button,The Curious Case of Benjamin Button,
2009,Jeff Bridges,"Otis ""Bad"" Blake",Crazy Heart,
2009,George Clooney,Ryan Bingham,Up in the Air,
2009,Colin Firth,George Falconer,A Single Man,
2009,Morgan Freeman,Nelson Mandela,Invictus,
2009,Tobey Maguire,Captain Sam Cahill,Brothers,
2010,Colin Firth,King George VI,The King's Speech,
2010,Jesse Eisenberg,Mark Zuckerberg,The Social Network,
2010,James Franco,Aron Ralston,127 Hours,
2010,Ryan Gosling,Dean Pereira,Blue Valentine,
2010,Mark Wahlberg,Micky Ward,The Fighter,
2011,George Clooney,Matt King,The Descendants,
2011,Leonardo DiCaprio,J. Edgar Hoover,J. Edgar,
2011,Michael Fassbender,Brandon Sullivan,Shame,
2011,Ryan Gosling,Stephen Meyers,The Ides of March,
2011,Brad Pitt,Billy Beane,Moneyball,
2012,Daniel Day-Lewis,Abraham Lincoln,Lincoln,
2012,Richard Gere,Robert Miller,Arbitrage,
2012,John Hawkes,Mark O'Brien,The Sessions,
2012,Joaquin Phoenix,Freddie Quell,The Master,
2012,Denzel Washington,"William ""Whip"" Whitaker, Sr.",Flight,
2013,Matthew McConaughey,Ron Woodroof,Dallas Buyers Club,
2013,Chiwetel Ejiofor,Solomon Northup,12 Years a Slave,
2013,Idris Elba,Nelson Mandela,Mandela: Long Walk to Freedom,
2013,Tom Hanks,Captain Richard Phillips,Captain Phillips,
2013,Robert Redford,Our Man,All Is Lost,
2014,Eddie Redmayne,Stephen Hawking,The Theory of Everything,
2014,Steve Carell,John Eleuthère du Pont,Foxcatcher,
2014,Benedict Cumberbatch,Alan Turing,The Imitation Game,
2014,Jake Gyllenhaal,"Louis ""Lou"" Bloom",Nightcrawler,
2014,David Oyelowo,Martin Luther King Jr.,Selma,
2015,Leonardo DiCaprio,Hugh Glass,The Revenant,
2015,Bryan Cranston,Dalton Trumbo,Trumbo,
2015,Michael Fassbender,Steve Jobs,Steve Jobs,
2015,Eddie Redmayne,Lili Elbe,The Danish Girl,
2015,Will Smith,Dr. Bennet Omalu,Concussion,
2016,Casey Affleck,Lee Chandler,Manchester by the Sea,
2016,Joel Edgerton,Richard Loving,Loving,
2016,Andrew Garfield,Desmond T. Doss,Hacksaw Ridge,
2016,Viggo Mortensen,Ben Cash,Captain Fantastic,
2016,Denzel Washington,Troy Maxson,Fences,
2017,Gary Oldman,Winston Churchill,Darkest Hour,
2017,Timothée Chalamet,Elio Perlman,Call Me by Your Name,
2017,Daniel Day-Lewis,Reynolds Woodcock,Phantom Thread,
2017,Tom Hanks,Ben Bradlee,The Post,
2017,Denzel Washington,Roman J. Israel,"Roman J. Israel, Esq.",
2018,Rami Malek,Freddie Mercury,Bohemian Rhapsody,
2018,Bradley Cooper,Jackson Maine,A Star Is Born,
2018,Willem Dafoe,Vincent van Gogh,At Eternity's Gate,
2018,Lucas Hedges,Jared Eamons,Boy Erased,
2018,John David Washington,Ron Stallworth,BlacKkKlansman,
2019,Joaquin Phoenix,Arthur Fleck / Joker,Joker,
2019,Christian Bale,Ken Miles,Ford v. Ferrari,
2019,Antonio Banderas,Salvador Mallo,Pain and Glory,
2019,Adam Driver,Charlie Barber,Marriage Story,
2019,Jonathan Pryce,Cardinal Jorge Mario Bergoglio,The Two Popes,
2020,Chadwick Boseman,Levee Green,Ma Rainey's Black Bottom,
2020,Riz Ahmed,Ruben Stone,Sound of Metal,
2020,Anthony Hopkins,Anthony,The Father,
2020,Gary Oldman,Herman J. Mankiewicz,Mank,
2020,Tahar Rahim,Mohamedou Ould Salahi,The Mauritanian,
2021,Will Smith,Richard Williams,King Richard,
2021,Mahershala Ali,Cameron Turner,Swan Song,
2021,Javier Bardem,Desi Arnaz,Being the Ricardos,
2021,Benedict Cumberbatch,Phil Burbank,The Power of the Dog,
2021,Denzel Washington,Lord Macbeth,The Tragedy of Macbeth,
2022,Austin Butler,Elvis Presley,Elvis,
2022,Brendan Fraser,Charlie,The Whale,
2022,Hugh Jackman,Peter Miller,The Son,
2022,Bill Nighy,Mr. Williams,Living,
2022,Jeremy Pope,Ellis French,The Inspection,
2023,Cillian Murphy,J. Robert Oppenheimer,Oppenheimer,
2023,Bradley Cooper,Leonard Bernstein,Maestro,
2023,Leonardo DiCaprio,Ernest Burkhart,Killers of the Flower Moon,
2023,Colman Domingo,Bayard Rustin,Rustin,
2023,Barry Keoghan,Oliver Quick,Saltburn,
2023,Andrew Scott,Adam,All of Us Strangers,
2024,Adrien Brody,László Tóth,The Brutalist,
2024,Timothée Chalamet,Bob Dylan,A Complete Unknown,
2024,Daniel Craig,William Lee,Queer,
2024,Colman Domingo,"John ""Divine G"" Whitfield",Sing Sing,
2024,Ralph Fiennes,Thomas Cardinal Lawrence,Conclave,
2024,Sebastian Stan,Donald Trump,The Apprentice,